ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,lr_count,lr_psb_count,lr_average_precision,lr_precision@100,lr_precision@200,lr_precision@500,beauty_early_count,beauty_early_psb_count,beauty_early_average_precision,beauty_early_precision@100,beauty_early_precision@200,beauty_early_precision@500
C08L,1156,6,0.005190311418685121,0.0,0.0,0.002,1156,6,0.008894022879123768,0.01,0.005,0.004,1156,6,0.00494349401147208,0.0,0.0,0.002,1156,6,0.006479243177811088,0.0,0.005,0.006,1156,6,0.04038722038067691,0.02,0.01,0.004,1156,6,0.006224937259420018,0.01,0.005,0.004
B05D,1158,6,0.0051813471502590676,0.01,0.005,0.006,1158,6,0.00571790907453688,0.0,0.0,0.004,1158,6,0.006093066910979433,0.0,0.005,0.004,1158,6,0.00846096729220951,0.01,0.005,0.002,1158,6,0.00511464063340159,0.0,0.0,0.002,1158,6,0.004733464245071119,0.0,0.0,0.002
H01F,505,6,0.011881188118811881,0.01,0.005,0.012,505,6,0.03001884429275934,0.03,0.015,0.012,505,6,0.027729769382134964,0.02,0.015,0.012,505,6,0.05862806672004397,0.03,0.02,0.012,505,6,0.020594876159451235,0.02,0.02,0.012,505,6,0.015892732932430233,0.02,0.01,0.012
G21C,495,6,0.012121212121212121,0.01,0.015,0.012121212121212121,495,6,0.03739580715296066,0.02,0.015,0.012121212121212121,495,6,0.01979125651218462,0.02,0.015,0.012121212121212121,495,6,0.014427272657437228,0.01,0.01,0.012121212121212121,495,6,0.04185837976559899,0.03,0.015,0.012121212121212121,495,6,0.01112882007690751,0.01,0.005,0.012121212121212121
C12P,351,6,0.017094017094017096,0.01,0.015,0.017094017094017096,351,6,0.05532170480725025,0.05,0.025,0.017094017094017096,351,6,0.01853242493517487,0.02,0.015,0.017094017094017096,351,6,0.022918893732877678,0.02,0.02,0.017094017094017096,351,6,0.1790838553797507,0.03,0.025,0.017094017094017096,351,6,0.01572751322751323,0.01,0.02,0.017094017094017096
B05B,612,5,0.008169934640522876,0.0,0.005,0.008,612,5,0.017640764851872,0.01,0.015,0.008,612,5,0.11197386894543208,0.02,0.01,0.01,612,5,0.04320794776819228,0.02,0.01,0.008,612,5,0.02888003245562427,0.02,0.02,0.01,612,5,0.011549378372038469,0.01,0.01,0.01
C01B,587,5,0.008517887563884156,0.01,0.005,0.008,587,5,0.024842069498781424,0.02,0.015,0.01,587,5,0.014384643820300386,0.01,0.015,0.01,587,5,0.011324720168934406,0.0,0.0,0.01,587,5,0.05480559985823143,0.03,0.02,0.01,587,5,0.00859106529209622,0.0,0.0,0.006
F16C,576,5,0.008680555555555556,0.01,0.01,0.008,576,5,0.00919620532712483,0.0,0.005,0.008,576,5,0.02387733473221004,0.02,0.015,0.008,576,5,0.010998991636455577,0.0,0.01,0.008,576,5,0.009417632060965242,0.0,0.005,0.01,576,5,0.011438169892817148,0.01,0.01,0.01
F01D,278,5,0.017985611510791366,0.0,0.015,0.017985611510791366,278,5,0.015830863361017355,0.01,0.01,0.017985611510791366,278,5,0.025503954629946375,0.03,0.02,0.017985611510791366,278,5,0.021482926920421145,0.01,0.015,0.017985611510791366,278,5,0.028875378674950422,0.01,0.025,0.017985611510791366,278,5,0.02965611404239563,0.03,0.015,0.017985611510791366
G08B,741,5,0.006747638326585695,0.0,0.005,0.004,741,5,0.006472748632726441,0.0,0.005,0.006,741,5,0.009657129919850788,0.0,0.01,0.008,741,5,0.007586661133998341,0.0,0.005,0.006,741,5,0.011506857947217876,0.01,0.01,0.008,741,5,0.01137864179417313,0.0,0.015,0.006
B60K,744,5,0.006720430107526882,0.0,0.0,0.008,744,5,0.005815363151531253,0.0,0.0,0.006,744,5,0.006110818655387533,0.0,0.0,0.006,744,5,0.005867589013458522,0.0,0.0,0.006,744,5,0.008304399606626961,0.01,0.005,0.006,744,5,0.007862191250042158,0.0,0.005,0.006
H05K,755,5,0.006622516556291391,0.0,0.005,0.008,755,5,0.015746151522526848,0.01,0.015,0.008,755,5,0.009831747625051047,0.0,0.005,0.01,755,5,0.010487754651225157,0.01,0.005,0.008,755,5,0.006104363254513679,0.0,0.0,0.006,755,5,0.007294314381270903,0.0,0.01,0.006
C12N,471,5,0.010615711252653927,0.0,0.01,0.010615711252653927,471,5,0.018480937482914104,0.01,0.015,0.010615711252653927,471,5,0.019056745803065694,0.02,0.01,0.010615711252653927,471,5,0.019256779291413326,0.01,0.015,0.010615711252653927,471,5,0.021868616293053457,0.02,0.01,0.010615711252653927,471,5,0.015737247826800065,0.01,0.01,0.010615711252653927
B02C,405,5,0.012345679012345678,0.01,0.01,0.012345679012345678,405,5,0.013369169436195504,0.0,0.005,0.012345679012345678,405,5,0.008992964136402302,0.0,0.005,0.012345679012345678,405,5,0.010202789220116824,0.0,0.01,0.012345679012345678,405,5,0.02414990952692576,0.02,0.01,0.012345679012345678,405,5,0.010475247524752474,0.0,0.0,0.012345679012345678
A47L,322,5,0.015527950310559006,0.02,0.015,0.015527950310559006,322,5,0.018426574042384486,0.01,0.015,0.015527950310559006,322,5,0.015222703870023044,0.01,0.005,0.015527950310559006,322,5,0.015156702518203417,0.01,0.015,0.015527950310559006,322,5,0.01177798960219776,0.0,0.01,0.015527950310559006,322,5,0.01540223566061939,0.01,0.01,0.015527950310559006
B65G,1253,5,0.0039904229848363925,0.0,0.0,0.0,1253,5,0.004085147032962727,0.0,0.0,0.002,1253,5,0.004642929857200665,0.0,0.0,0.004,1253,5,0.004465446896647464,0.0,0.0,0.004,1253,5,0.005135778905487904,0.0,0.0,0.004,1253,5,0.003762637707950549,0.0,0.005,0.004
B65B,957,5,0.00522466039707419,0.01,0.005,0.004,957,5,0.04870473931834276,0.02,0.02,0.008,957,5,0.011755844943865654,0.01,0.005,0.008,957,5,0.008273102299183488,0.0,0.005,0.008,957,5,0.03705562949519392,0.01,0.005,0.002,957,5,0.005313496280552604,0.0,0.0,0.0
C08J,383,5,0.013054830287206266,0.01,0.01,0.013054830287206266,383,5,0.1444250713066724,0.03,0.02,0.013054830287206266,383,5,0.02571070466151667,0.02,0.02,0.013054830287206266,383,5,0.05894235330965838,0.02,0.015,0.013054830287206266,383,5,0.015230614575714885,0.0,0.015,0.013054830287206266,383,5,0.04235483448417822,0.01,0.005,0.013054830287206266
C11D,457,5,0.010940919037199124,0.0,0.005,0.010940919037199124,457,5,0.01494153618711238,0.0,0.015,0.010940919037199124,457,5,0.012677791656812033,0.0,0.015,0.010940919037199124,457,5,0.012592347238161702,0.01,0.01,0.010940919037199124,457,5,0.01771184237729223,0.02,0.01,0.010940919037199124,457,5,0.012714947089947089,0.01,0.01,0.010940919037199124
A47B,565,4,0.007079646017699115,0.01,0.005,0.008,565,4,0.008270979920107585,0.0,0.005,0.008,565,4,0.010814466085987049,0.01,0.005,0.008,565,4,0.009988839689533135,0.01,0.01,0.008,565,4,0.007003143070921858,0.0,0.0,0.006,565,4,0.007142857142857143,0.01,0.005,0.004
F16L,983,4,0.004069175991861648,0.0,0.005,0.004,983,4,0.02491990767852837,0.01,0.005,0.006,983,4,0.009015511786620353,0.01,0.005,0.006,983,4,0.010391591126127541,0.01,0.01,0.006,983,4,0.006704452101247626,0.0,0.005,0.004,983,4,0.006674269390463748,0.0,0.0,0.006
A63H,397,4,0.010075566750629723,0.02,0.015,0.010075566750629723,397,4,0.008558846827781769,0.0,0.005,0.010075566750629723,397,4,0.009119825884781881,0.0,0.005,0.010075566750629723,397,4,0.014525259512280926,0.01,0.015,0.010075566750629723,397,4,0.009141730902613575,0.0,0.005,0.010075566750629723,397,4,0.021072427570071415,0.02,0.01,0.010075566750629723
F21V,370,4,0.010810810810810811,0.0,0.015,0.010810810810810811,370,4,0.011667153321927692,0.0,0.01,0.010810810810810811,370,4,0.036499640348650254,0.01,0.01,0.010810810810810811,370,4,0.1574074074074074,0.02,0.02,0.010810810810810811,370,4,0.007519210334018668,0.0,0.0,0.010810810810810811,370,4,0.010510029215954668,0.01,0.01,0.010810810810810811
G01J,524,4,0.007633587786259542,0.02,0.015,0.008,524,4,0.012387624550015425,0.01,0.015,0.008,524,4,0.013289451513523303,0.01,0.005,0.008,524,4,0.009368046156252773,0.01,0.005,0.006,524,4,0.06206579250057511,0.01,0.015,0.008,524,4,0.007544681580365954,0.0,0.005,0.008
G01F,557,4,0.00718132854578097,0.02,0.01,0.008,557,4,0.00910655168861791,0.0,0.005,0.008,557,4,0.010231459225014472,0.01,0.005,0.006,557,4,0.006770245016303454,0.0,0.005,0.006,557,4,0.06149122807017543,0.04,0.02,0.008,557,4,0.01061425740162027,0.02,0.01,0.006
F25B,472,4,0.00847457627118644,0.0,0.0,0.00847457627118644,472,4,0.16005488538070672,0.03,0.015,0.00847457627118644,472,4,0.10467638691322902,0.03,0.015,0.00847457627118644,472,4,0.09831119411906679,0.02,0.015,0.00847457627118644,472,4,0.06582832832832833,0.02,0.015,0.00847457627118644,472,4,0.01253796708342163,0.02,0.01,0.00847457627118644
G01L,431,4,0.009280742459396751,0.02,0.01,0.009280742459396751,431,4,0.13814952081461515,0.01,0.015,0.009280742459396751,431,4,0.018461488386300413,0.02,0.01,0.009280742459396751,431,4,0.010426849697080912,0.0,0.01,0.009280742459396751,431,4,0.07270896864492923,0.03,0.015,0.009280742459396751,431,4,0.02419804404170909,0.02,0.015,0.009280742459396751
F42B,377,4,0.010610079575596816,0.0,0.005,0.010610079575596816,377,4,0.018167344367675493,0.01,0.02,0.010610079575596816,377,4,0.047935066298316176,0.03,0.02,0.010610079575596816,377,4,0.034057277713994125,0.03,0.015,0.010610079575596816,377,4,0.016290833762451787,0.0,0.015,0.010610079575596816,377,4,0.018372658787753127,0.02,0.015,0.010610079575596816
G01D,1039,4,0.0038498556304138597,0.0,0.005,0.002,1039,4,0.017609106606857054,0.01,0.005,0.002,1039,4,0.00956151175272894,0.01,0.01,0.004,1039,4,0.008847453718021299,0.0,0.01,0.006,1039,4,0.0036186413541410955,0.0,0.0,0.002,1039,4,0.005592238255652676,0.0,0.0,0.006
A63F,398,4,0.010050251256281407,0.02,0.01,0.010050251256281407,398,4,0.011294140624971912,0.0,0.01,0.010050251256281407,398,4,0.008587139377841058,0.0,0.005,0.010050251256281407,398,4,0.007847308127184982,0.0,0.005,0.010050251256281407,398,4,0.14768492166747982,0.03,0.02,0.010050251256281407,398,4,0.021738186482059524,0.01,0.015,0.010050251256281407
A62B,182,4,0.02197802197802198,0.03,0.02197802197802198,0.02197802197802198,182,4,0.0226296976258496,0.02,0.02197802197802198,0.02197802197802198,182,4,0.05226386330432573,0.02,0.02197802197802198,0.02197802197802198,182,4,0.028290481136176996,0.02,0.02197802197802198,0.02197802197802198,182,4,0.03739225890388681,0.03,0.02197802197802198,0.02197802197802198,182,4,0.021811482229882325,0.02,0.02197802197802198,0.02197802197802198
A61N,361,4,0.0110803324099723,0.01,0.015,0.0110803324099723,361,4,0.012530233830387717,0.0,0.01,0.0110803324099723,361,4,0.016742338932175995,0.01,0.015,0.0110803324099723,361,4,0.015299150023098625,0.01,0.01,0.0110803324099723,361,4,0.011677132301375542,0.0,0.005,0.0110803324099723,361,4,0.02383556851207605,0.01,0.01,0.0110803324099723
F15B,402,4,0.009950248756218905,0.0,0.005,0.009950248756218905,402,4,0.01616696799388527,0.01,0.015,0.009950248756218905,402,4,0.009033441687575099,0.0,0.0,0.009950248756218905,402,4,0.016951114702559666,0.01,0.005,0.009950248756218905,402,4,0.09629741816423754,0.02,0.01,0.009950248756218905,402,4,0.017090046544933762,0.02,0.015,0.009950248756218905
F16B,613,4,0.0065252854812398045,0.0,0.005,0.006,613,4,0.009169025060497929,0.0,0.01,0.006,613,4,0.0053700451309086055,0.0,0.0,0.006,613,4,0.005141564659887177,0.0,0.0,0.002,613,4,0.005690452262310169,0.0,0.0,0.006,613,4,0.006955159112825458,0.0,0.0,0.006
