ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,beauty_count,beauty_psb_count,beauty_average_precision,beauty_precision@100,beauty_precision@200,beauty_precision@500
A61H,261,1,0.0038314176245210726,0.0,0.005,0.0038314176245210726,261,1,0.03333333333333333,0.01,0.005,0.0038314176245210726,261,1,0.037037037037037035,0.01,0.005,0.0038314176245210726,261,1,0.006289308176100629,0.0,0.005,0.0038314176245210726,261,1,1.0,0.01,0.005,0.0038314176245210726
A61F,1452,1,0.0006887052341597796,0.0,0.0,0.0,1452,1,0.001976284584980237,0.0,0.0,0.0,1452,1,0.0008025682182985554,0.0,0.0,0.0,1452,1,0.0007173601147776184,0.0,0.0,0.0,1452,1,1.0,0.01,0.005,0.002
B07C,140,1,0.007142857142857143,0.01,0.007142857142857143,0.007142857142857143,140,1,0.037037037037037035,0.01,0.007142857142857143,0.007142857142857143,140,1,0.021739130434782608,0.01,0.007142857142857143,0.007142857142857143,140,1,0.0196078431372549,0.01,0.007142857142857143,0.007142857142857143,140,1,1.0,0.01,0.007142857142857143,0.007142857142857143
B03C,113,1,0.008849557522123894,0.01,0.008849557522123894,0.008849557522123894,113,1,0.01282051282051282,0.01,0.008849557522123894,0.008849557522123894,113,1,0.017857142857142856,0.01,0.008849557522123894,0.008849557522123894,113,1,0.038461538461538464,0.01,0.008849557522123894,0.008849557522123894,113,1,1.0,0.01,0.008849557522123894,0.008849557522123894
B04B,89,1,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.011235955056179775,89,1,0.011363636363636364,0.011235955056179775,0.011235955056179775,0.011235955056179775,89,1,0.011904761904761904,0.011235955056179775,0.011235955056179775,0.011235955056179775,89,1,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.011235955056179775,89,1,1.0,0.011235955056179775,0.011235955056179775,0.011235955056179775
B21B,219,1,0.0045662100456621,0.0,0.005,0.0045662100456621,219,1,0.0072992700729927005,0.0,0.005,0.0045662100456621,219,1,0.01694915254237288,0.01,0.005,0.0045662100456621,219,1,0.006289308176100629,0.0,0.005,0.0045662100456621,219,1,1.0,0.01,0.005,0.0045662100456621
B08B,452,1,0.0022123893805309734,0.0,0.0,0.0022123893805309734,452,1,0.012987012987012988,0.01,0.005,0.0022123893805309734,452,1,0.0029850746268656717,0.0,0.0,0.0022123893805309734,452,1,0.004807692307692308,0.0,0.0,0.0022123893805309734,452,1,1.0,0.01,0.005,0.0022123893805309734
B21C,98,1,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,98,1,0.017857142857142856,0.01020408163265306,0.01020408163265306,0.01020408163265306,98,1,0.0136986301369863,0.01020408163265306,0.01020408163265306,0.01020408163265306,98,1,0.013157894736842105,0.01020408163265306,0.01020408163265306,0.01020408163265306,98,1,1.0,0.01020408163265306,0.01020408163265306,0.01020408163265306
B01L,57,1,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,57,1,0.024390243902439025,0.017543859649122806,0.017543859649122806,0.017543859649122806,57,1,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,57,1,0.018518518518518517,0.017543859649122806,0.017543859649122806,0.017543859649122806,57,1,1.0,0.017543859649122806,0.017543859649122806,0.017543859649122806
A47B,565,1,0.0017699115044247787,0.0,0.0,0.002,565,1,0.002145922746781116,0.0,0.0,0.002,565,1,0.003401360544217687,0.0,0.0,0.002,565,1,0.016666666666666666,0.01,0.005,0.002,565,1,1.0,0.01,0.005,0.002
A63D,50,1,0.02,0.02,0.02,0.02,50,1,0.02564102564102564,0.02,0.02,0.02,50,1,0.02564102564102564,0.02,0.02,0.02,50,1,0.05,0.02,0.02,0.02,50,1,1.0,0.02,0.02,0.02
A62B,182,1,0.005494505494505495,0.01,0.005494505494505495,0.005494505494505495,182,1,0.019230769230769232,0.01,0.005494505494505495,0.005494505494505495,182,1,0.014285714285714285,0.01,0.005494505494505495,0.005494505494505495,182,1,0.007194244604316547,0.0,0.005494505494505495,0.005494505494505495,182,1,1.0,0.01,0.005494505494505495,0.005494505494505495
A63B,1266,1,0.0007898894154818325,0.0,0.0,0.0,1266,1,0.0017271157167530224,0.0,0.0,0.0,1266,1,0.0010660980810234541,0.0,0.0,0.0,1266,1,0.006134969325153374,0.0,0.005,0.002,1266,1,1.0,0.01,0.005,0.002
